amplitude_um,direction,cycle,phase_rad,phase_fraction,dx_m,dy_m,vx_m_per_s,vy_m_per_s,controller_kp,controller_ki,controller_kd,sensor_angle_x_deg,sensor_angle_y_deg,servo_natural_frequency_hz,servo_zeta,controller_u_x,controller_u_y,xv_x_nondim,xv_y_nondim,dsx_nondim,dsy_nondim,spool_harmonic_dsx_nondim,spool_harmonic_dsy_nondim,spool_harmonic_residual_x_nondim,spool_harmonic_residual_y_nondim,nonlinear_delta_fx_N,nonlinear_delta_fy_N,stiffness_delta_fx_N,stiffness_delta_fy_N,damping_delta_fx_N,damping_delta_fy_N,spool_delta_fx_N,spool_delta_fy_N,linear_total_delta_fx_N,linear_total_delta_fy_N,error_fx_N,error_fy_N
5.0,reverse,3,1.9634954084936207,0.3125,-1.9134171618254472e-06,-4.619397662556434e-06,-0.0014512265760697,0.0006011177298843,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1114369934383636,-0.1113160364057558,-0.1141244536220778,-0.1221939065350001,-0.0257361059737594,0.0015497801726456,-0.025736105973759367,0.0015497801726455781,-4.163336342344337e-17,-2.8189256484623115e-17,422.65882558580745,234.7013538604424,190.5491511551402,119.14193155372881,156.20402357898098,-110.5379536060129,100.74623844087503,95.63184914907778,447.4994131749962,104.23582709679368,-24.84058758918877,130.4655267636487
5.0,reverse,3,2.356194490192344,0.37499999999999983,-3.5355339059327314e-06,-3.535533905932744e-06,-0.0011107207345395,0.0011107207345395,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1049266638720834,-0.1034417000742202,-0.1115723340081368,-0.1124630951564967,-0.0231839863598184,0.011280591551149,-0.02318398635981837,0.011280591551148956,-3.8163916471489756e-17,-6.938893903907228e-18,389.8547158567392,81.2554986377749,203.96807730263288,64.8763022787546,123.37859307994468,-195.18490410008897,133.11409266987016,36.229692179362196,460.4607630524477,-94.07890964197219,-70.60604719570853,175.3344082797471
5.0,reverse,3,2.7488935718910703,0.4375000000000002,-4.619397662556434e-06,-1.9134171618254464e-06,-0.0006011177298843,0.0014512265760697,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0958985255809446,-0.0986581571696564,-0.1054906626342731,-0.1044496515828387,-0.0171023149859547,0.019294035124807,-0.01710231498595468,0.01929403512480702,-2.7755575615628914e-17,-6.938893903907228e-17,295.7404822113613,-87.78666845121282,186.33471265602458,0.7338440869840639,71.76989021423009,-250.1167223005071,145.2165329721326,-28.688107001684365,403.32113584238726,-278.07098521520743,-107.58065363102594,190.2843167639946
5.0,reverse,3,3.141592653589793,0.5,-5e-06,-4.286263797015736e-21,-1.3465694856052528e-18,0.0015707963267948,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.085727030779496,-0.0976936587363602,-0.0968053188366692,-0.0993735499560685,-0.0084169711883508,0.0243701367515772,-0.008416971188350858,0.024370136751577096,5.0306980803327406e-17,5.551115123125783e-17,166.7546583472216,-244.99663840187063,140.33357713591326,-63.52033521471601,9.234872159072417,-266.9705368443794,135.21107252053721,-89.23840195006149,284.7795218155229,-419.7292740091569,-118.0248634683013,174.73263560728626
5.0,reverse,3,3.534291735288516,0.5624999999999998,-4.6193976625564375e-06,1.9134171618254383e-06,0.0006011177298843,0.0014512265760697,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0759606973464284,-0.1006950409176006,-0.0868385674756727,-0.0980075807338863,0.0015497801726456,0.0257361059737594,0.0015497801726455538,0.025736105973759353,3.9898639947466563e-17,0.0,28.67918233400913,-362.8684345639834,72.96792662390382,-118.1041192932482,-54.706071467978845,-243.18050724766312,104.62095196911477,-136.20295914966994,122.88280712503975,-497.4875856905812,-94.20362479103062,134.61915112659784
5.0,reverse,3,3.9269908169872414,0.625,-3.5355339059327374e-06,3.5355339059327374e-06,0.0011107207345395,0.0011107207345395,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0680863610148926,-0.1072053704838809,-0.0771077560971694,-0.1005597003478274,0.011280591551149,0.0231839863598184,0.011280591551148994,0.023183986359818356,-1.734723475976807e-18,-3.469446951953614e-18,-102.12499377207097,-418.63121383520337,-5.506429260693636,-154.70762182589115,-110.31851162580323,-182.3684498592506,58.10323987168563,-162.43185050164067,-57.72170101481123,-499.5079221867824,-44.403292757259734,80.87670835157905
5.0,reverse,3,4.319689898685965,0.6874999999999999,-1.913417161825455e-06,4.619397662556431e-06,0.0014512265760697,0.0006011177298843,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0633028181103292,-0.1162335087750195,-0.0690943125235113,-0.106641371721691,0.019294035124807,0.0171023149859547,0.01929403512480701,0.017102314985954718,-1.734723475976807e-17,-6.591949208711867e-17,-224.6913763482661,-390.2329007772586,-83.14248120625535,-167.75829136362606,-149.13595842840795,-93.7924491538995,2.7398362109735572,-163.9319650631279,-229.53860342368975,-425.4827055806535,4.84722707542366,35.24980480339491
5.0,reverse,3,4.712388980384688,0.7499999999999997,-1.3474209693803826e-20,5e-06,0.0015707963267948,4.2330478186982484e-18,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0623383196770327,-0.1264050035764679,-0.0640182108967412,-0.1153267155192948,0.0243701367515771,0.0084169711883509,0.024370136751577096,0.00841697118835091,-3.469446951953614e-18,-6.071532165918825e-17,-350.36194668296463,-243.5325954781087,-148.12084407663377,-155.2692817739472,-165.2488074811004,9.062601704463383,-53.04068267618201,-140.4749239907179,-366.4103342339162,-286.6816040602017,16.04838755095159,43.14900858209302
5.0,reverse,3,5.105088062083414,0.8125000000000001,1.9134171618254464e-06,4.619397662556434e-06,0.0014512265760697,-0.0006011177298843,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0653397018582731,-0.136171337009536,-0.0626522416745589,-0.1252934668802913,0.0257361059737594,-0.0015497801726454,0.025736105973759367,-0.001549780172645586,2.7755575615628914e-17,1.3574211199518516e-16,-445.7908207381682,-41.31776662569299,-190.54915115514018,-119.14193155372882,-156.20402357898098,110.5379536060129,-100.74623844087506,-95.63184914907777,-447.4994131749962,-104.23582709679368,1.7085924368280416,62.918060471100695
5.0,reverse,3,5.497787143782137,0.8749999999999999,3.535533905932731e-06,3.535533905932744e-06,0.0011107207345395,-0.0011107207345395,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0718500314245535,-0.1440456733410713,-0.0652043612885,-0.1350242782587948,0.0231839863598184,-0.0112805915511489,0.023183986359818373,-0.011280591551148954,2.0816681711721685e-17,3.469446951953614e-18,-490.0790973351658,177.219619050372,-203.96807730263288,-64.8763022787546,-123.37859307994468,195.18490410008897,-133.1140926698702,-36.22969217936221,-460.46076305244776,94.07890964197216,-29.618334282718024,83.14070940839983
5.0,reverse,3,5.890486225480863,0.9375000000000002,4.619397662556434e-06,1.9134171618254472e-06,0.0006011177298843,-0.0014512265760697,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0808781697156922,-0.1488292162456353,-0.0712860326623636,-0.1430377218324528,0.0171023149859547,-0.019294035124807,0.017102314985954686,-0.01929403512480702,6.938893903907228e-18,-2.7755575615628914e-17,-467.1791639462044,378.0740899439914,-186.33471265602464,-0.7338440869840923,-71.76989021423009,250.1167223005071,-145.2165329721326,28.68810700168435,-403.3211358423873,278.0709852152073,-63.858028103817105,100.00310472878408
